cm,a,o,u,i_,i,e
0,5,3.2,0.65,6.5,4,8
0.5,5,3.2,0.65,6.5,4,8
1,5,3.2,0.32,2,3.2,5
1.5,5,3.2,0.32,6.5,1.6,5
2,6.5,6.5,2,8,1.3,4
2.5,8,13,5,8,1,2.6
3,8,13,10.5,8,0.65,2
3.5,8,16,13,5,0.65,2.6
4,8,13,13,3.2,0.65,2.6
4.5,8,10.5,13,2.6,0.65,3.2
5,8,10.5,13,2,0.65,4
5.5,8,8,10.5,2,0.65,4
6,8,8,8,1.6,0.65,4
6.5,6.5,6.5,6.5,1.3,1.3,5
7,5,6.5,5,1,2.6,5
7.5,4,5,3.2,1,4,6.5
8,3.2,5,2.6,1.3,6.5,8
8.5,1.6,4,2,1.6,8,6.5
9,2.6,3.2,2,2.6,8,8
9.5,2.6,2,2,2,10.5,10.5
10,2,1.6,1.6,4,10.5,10.5
10.5,1.6,2.6,1.3,5,10.5,10.5
11,1.3,1.3,2,6.5,10.5,10.5
11.5,1,0.65,1.6,6.5,10.5,10.5
12,0.65,0.65,1,8,10.5,8
12.5,0.65,1,1,10.5,10.5,8
13,0.65,1,1,10.5,10.5,6.5
13.5,1,1.3,1.3,10.5,10.5,6.5
14,1.6,1.6,1.6,10.5,8,6.5
14.5,2.6,2,3.2,10.5,8,6.5
15,4,3.2,5,13,2,1.3
15.5,1,4,8,13,2,1.6
16,1.3,5,8,10.5,2.6,2
16.5,1.6,5,10.5,10.5,3.2,2.6
17,2.6,1.3,10.5,0.01,,
17.5,,1.3,10.5,3.2,,
18,,1.6,2,3.2,,
18.5,,2.6,2,3.2,,
19,,,2.6,3.2,,
19.5,,,2.6,,,
20,,,,,,
